,count,unique,top,freq,mean,std,min,25%,50%,75%,max
customer_id,15000.0,,,,17500.5,4330.271354083945,10001.0,13750.75,17500.5,21250.25,25000.0
gender,14262,3,Male,6844,,,,,,,
age,13800.0,,,,35.20391304347826,10.334383963142097,-4.0,28.0,35.0,42.0,95.0
country,15000,5,Germany,3072,,,,,,,
city,15000,7,London,2236,,,,,,,
signup_date,15000,1000,2024-09-20 00:00:00,29,,,,,,,
last_purchase_date,15000,800,2025-01-17 00:00:00,32,,,,,,,
acquisition_channel,15000,5,Organic,3055,,,,,,,
device_type,15000,3,Tablet,5043,,,,,,,
subscription_type,15000,2,Monthly,7666,,,,,,,
is_premium_user,15000.0,,,,0.30446666666666666,0.46019651702054504,0.0,0.0,0.0,1.0,1.0
total_visits,15000.0,,,,15.000933333333334,3.8927037739511685,3.0,12.0,15.0,18.0,31.0
avg_session_time,15000.0,,,,8.020805414862629,2.9914989052992795,0.0060949847141138,5.9745545092993675,7.99190682727574,10.05998559213775,19.1237155983209
pages_per_session,15000.0,,,,4.002900767815061,1.47984583217648,0.0078450453266292,2.98914955880416,3.9969917171174547,5.014405922706993,10.8431720854223
email_open_rate,15000.0,,,,0.496278,0.2901082859390691,0.0,0.24,0.5,0.75,1.0
email_click_rate,15000.0,,,,0.25123133333333336,0.1446894818382889,0.0,0.13,0.25,0.38,0.5
total_spent,13950.0,,,,524.3573971796902,467.0500704075501,0.267290661917684,300.43207416717576,498.84385906874195,702.3966351400633,15910.4318792316
avg_order_value,15000.0,,,,60.08088186050343,24.746203427916143,0.0715957350948955,43.032469870895476,60.10882722112345,76.88844515132007,154.554696224916
discount_used,15000.0,,,,0.49446666666666667,0.49998604776408795,0.0,0.0,0.0,1.0,1.0
coupon_code,8867,3,REF10,2995,,,,,,,
support_tickets,15000.0,,,,1.9956,1.4212137875452309,0.0,1.0,2.0,3.0,9.0
refund_requested,15000.0,,,,0.14766666666666667,0.35478107831420613,0.0,0.0,0.0,0.0,1.0
delivery_delay_days,15000.0,,,,2.981333333333333,1.72053738857445,0.0,2.0,3.0,4.0,11.0
payment_method,15000,5,UPI,3105,,,,,,,
satisfaction_score,14298.0,,,,3.5887536718422157,1.0887031938784835,1.0,3.0,4.0,4.0,5.0
nps_score,15000.0,,,,4.968666666666667,3.1554950005985023,0.0,2.0,5.0,8.0,10.0
marketing_spend_per_user,15000.0,,,,17.575238,7.183436903117621,5.0,11.38,17.63,23.77,30.0
lifetime_value,15000.0,,,,1235.6982003043865,657.5218493302436,0.368885568999531,741.3012511803968,1216.210685258055,1677.8603988008174,3767.49045476897
last_3_month_purchase_freq,15000.0,,,,6.975133333333333,4.323443202621877,0.0,3.0,7.0,11.0,14.0
churn,15000.0,,,,0.1532,0.3601921837398499,0.0,0.0,0.0,0.0,1.0
